"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.988714314E1,4.300339472E1,-7.879199320E1,1.801408865E2,1.454261839E2,1.414816869E0,9.301631118E1,3.586159565E-2,4.711553537E0,3.409662783E0,-1.000000000E0
3.088713217E1,4.300339476E1,-7.879197512E1,1.801425192E2,1.454278211E2,1.386544940E0,9.042402472E1,3.724605345E-2,4.713415314E0,3.407088656E0,-1.000000000E0
3.188712251E1,4.300339543E1,-7.879195812E1,1.798784521E2,1.451637571E2,1.382427249E0,8.975334315E1,3.869627157E-2,4.713018670E0,3.407637311E0,-1.000000000E0
3.288711500E1,4.300339458E1,-7.879194033E1,1.797793252E2,1.450646361E2,1.475801868E0,9.405658420E1,3.989531934E-2,4.711245011E0,3.410089072E0,-1.000000000E0
3.388710225E1,4.300339414E1,-7.879192559E1,1.800142609E2,1.452995763E2,1.346218262E0,9.308160744E1,4.126979236E-2,4.708526891E0,3.413841172E0,-1.000000000E0
3.488709307E1,4.300339616E1,-7.879190892E1,1.797215375E2,1.450068535E2,1.303138249E0,8.777816779E1,4.277206016E-2,4.706922132E0,3.416053435E0,-1.000000000E0
3.588708436E1,4.300339775E1,-7.879189057E1,1.802415417E2,1.455268594E2,1.393464066E0,8.420965481E1,4.435466075E-2,4.707376148E0,3.415427768E0,-1.000000000E0
3.688707638E1,4.300339570E1,-7.879187131E1,1.803900055E2,1.456753317E2,1.448313560E0,8.991808165E1,4.583668701E-2,4.708669797E0,3.413644061E0,-1.000000000E0
3.788706911E1,4.300339593E1,-7.879185309E1,1.796584602E2,1.449437906E2,1.417573190E0,9.258668837E1,4.743044170E-2,4.708926289E0,3.413290237E0,-1.000000000E0
3.888706136E1,4.300339718E1,-7.879183357E1,1.802390265E2,1.455243595E2,1.440043269E0,8.811272123E1,4.878229760E-2,4.710333381E0,3.411348190E0,-1.000000000E0
3.988705564E1,4.300339625E1,-7.879181699E1,1.799478641E2,1.452332029E2,1.409896381E0,9.014583089E1,5.032944663E-2,4.712237158E0,3.408717941E0,-1.000000000E0
4.088705051E1,4.300339580E1,-7.879179798E1,1.802200998E2,1.455054443E2,1.409139949E0,9.055196722E1,5.188584551E-2,4.712178529E0,3.408798988E0,-1.000000000E0
4.188704550E1,4.300339489E1,-7.879177888E1,1.795617001E2,1.448470509E2,1.400779826E0,9.181190653E1,5.350109104E-2,4.713273338E0,3.407285059E0,-1.000000000E0
4.288704121E1,4.300339191E1,-7.879175944E1,1.795332507E2,1.448186119E2,1.469552121E0,9.783114175E1,5.489013204E-2,4.713758148E0,3.406614324E0,-1.000000000E0
4.388703728E1,4.300339228E1,-7.879174236E1,1.794715900E2,1.447569548E2,1.421149786E0,9.611874539E1,5.618345218E-2,4.715216473E0,3.404595518E0,-1.000000000E0
4.488703406E1,4.300339231E1,-7.879172646E1,1.791999927E2,1.444853614E2,1.413193061E0,9.146519981E1,5.750889572E-2,4.717587652E0,3.401309127E0,-1.000000000E0
4.588703084E1,4.300339291E1,-7.879171018E1,1.790444096E2,1.443297813E2,1.411926499E0,8.939660772E1,5.893815464E-2,4.717532641E0,3.401385426E0,-1.000000000E0
4.688702881E1,4.300339438E1,-7.879169272E1,1.786780120E2,1.439633854E2,1.429517916E0,9.055895656E1,6.026972382E-2,4.718684804E0,3.399786869E0,-1.000000000E0
4.788702571E1,4.300339358E1,-7.879167638E1,1.785065739E2,1.437919528E2,1.419971134E0,9.125454345E1,6.162162598E-2,4.719948559E0,3.398032171E0,-1.000000000E0
4.888702440E1,4.300339483E1,-7.879165984E1,1.785612105E2,1.438465913E2,1.416478394E0,8.910872193E1,6.282437224E-2,4.720945611E0,3.396646812E0,-1.000000000E0
4.988702297E1,4.300339586E1,-7.879164512E1,1.786373391E2,1.439227218E2,1.401998601E0,8.801779152E1,6.420504775E-2,4.720620664E0,3.397098406E0,-1.000000000E0
5.088702154E1,4.300339503E1,-7.879162818E1,1.783406131E2,1.436260015E2,1.415446516E0,9.003367217E1,6.561903779E-2,4.720338059E0,3.397491081E0,-1.000000000E0
5.188702106E1,4.300339883E1,-7.879161158E1,1.783886760E2,1.436740617E2,1.413375543E0,8.130470878E1,6.693673273E-2,4.720557478E0,3.397186208E0,-1.000000000E0
5.288701987E1,4.300339843E1,-7.879159539E1,1.783607096E2,1.436461001E2,1.415105413E0,8.421775330E1,6.833400666E-2,4.721068438E0,3.396476091E0,-1.000000000E0
5.388701940E1,4.300340087E1,-7.879157853E1,1.786153009E2,1.439006912E2,1.407667582E0,8.501622834E1,6.972671795E-2,4.720870985E0,3.396750532E0,-1.000000000E0
5.488701987E1,4.300340239E1,-7.879156153E1,1.788546481E2,1.441400400E2,1.398131592E0,8.717203729E1,7.098657255E-2,4.722975754E0,3.393823369E0,-1.000000000E0
5.588701880E1,4.300340057E1,-7.879154624E1,1.789138615E2,1.441992605E2,1.375305547E0,8.980147063E1,7.227336560E-2,4.723344974E0,3.393309490E0,-1.000000000E0
5.688702023E1,4.300340046E1,-7.879153042E1,1.787742813E2,1.440596845E2,1.326091240E0,9.138954533E1,7.361971757E-2,4.724584406E0,3.391583587E0,-1.000000000E0
5.788702035E1,4.300340390E1,-7.879151454E1,1.787625603E2,1.440479612E2,1.327576436E0,8.475453459E1,7.534819090E-2,4.724963505E0,3.391055427E0,-1.000000000E0
5.888702071E1,4.300340363E1,-7.879149329E1,1.785721559E2,1.438575627E2,1.524759167E0,8.699092945E1,7.671094336E-2,4.724718596E0,3.391396648E0,-1.000000000E0
5.988702202E1,4.300340330E1,-7.879147654E1,1.784994716E2,1.437848831E2,1.434384590E0,8.996238518E1,7.824294540E-2,4.723636840E0,3.392903187E0,-1.000000000E0
6.088702273E1,4.300340392E1,-7.879145772E1,1.783411274E2,1.436265425E2,1.431674598E0,8.893625510E1,7.970439953E-2,4.722725171E0,3.394172063E0,-1.000000000E0
6.188702357E1,4.300340178E1,-7.879143998E1,1.784618512E2,1.437472747E2,1.442355295E0,9.329166848E1,8.117060869E-2,4.722490086E0,3.394499141E0,-1.000000000E0
6.288702548E1,4.300340017E1,-7.879142209E1,1.785203610E2,1.438057918E2,1.435831127E0,9.373475160E1,8.265753104E-2,4.723442971E0,3.393173077E0,-1.000000000E0
6.388702643E1,4.300339963E1,-7.879140382E1,1.783884594E2,1.436738958E2,1.431732418E0,9.313125354E1,8.412236422E-2,4.724287724E0,3.391996836E0,-1.000000000E0
6.488702822E1,4.300339961E1,-7.879138580E1,1.784819553E2,1.437673962E2,1.414822334E0,9.236809291E1,8.553286684E-2,4.724514772E0,3.391680587E0,-1.000000000E0
6.588702989E1,4.300340050E1,-7.879136850E1,1.785712635E2,1.438567072E2,1.373774222E0,8.896629725E1,8.697727186E-2,4.724698332E0,3.391424879E0,-1.000000000E0
6.688703227E1,4.300340182E1,-7.879135083E1,1.784364203E2,1.437218660E2,1.414615854E0,8.783379434E1,8.819887731E-2,4.724910159E0,3.391129757E0,-1.000000000E0
6.788703406E1,4.300340146E1,-7.879133582E1,1.785696741E2,1.438551242E2,1.433710640E0,8.837011851E1,8.958107572E-2,4.724360655E0,3.391895257E0,-1.000000000E0
