"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.098253989E1,4.293466965E1,-7.887217081E1,1.786032132E2,1.440383812E2,1.670000076E1,2.622654869E2,5.965845001E-1,4.596211076E0,3.563619057E0,-1.000000000E0
3.198255610E1,4.293464147E1,-7.887237300E1,1.782252225E2,1.436604026E2,1.670000076E1,2.591014257E2,6.127768087E-1,4.596211298E0,3.563618770E0,-1.000000000E0
3.298257089E1,4.293462528E1,-7.887257067E1,1.786485620E2,1.440837255E2,1.656999969E1,2.608592385E2,6.310074656E-1,4.596211512E0,3.563618494E0,-1.000000000E0
3.398258436E1,4.293453567E1,-7.887275819E1,1.779631379E2,1.433984719E2,1.681999969E1,2.496092434E2,6.476715684E-1,4.596211740E0,3.563618200E0,-1.000000000E0
3.498259628E1,4.293454324E1,-7.887296262E1,1.829143321E2,1.483495879E2,1.592916329E1,2.498411512E2,6.638546259E-1,4.897756757E0,3.136322015E0,-1.000000000E0
3.598260748E1,4.293448384E1,-7.887314410E1,1.827865062E2,1.482218585E2,1.622134724E1,2.478122815E2,6.798471629E-1,4.905816898E0,3.123699345E0,-1.000000000E0
3.698261821E1,4.293442638E1,-7.887332418E1,1.825029155E2,1.479383598E2,1.628653215E1,2.470301363E2,6.968113082E-1,4.906557704E0,3.122535592E0,-1.000000000E0
3.798262799E1,4.293436318E1,-7.887351384E1,1.819432837E2,1.473788315E2,1.646732151E1,2.463241911E2,7.161948195E-1,4.899798677E0,3.133131015E0,-1.000000000E0
3.898263609E1,4.293425194E1,-7.887369716E1,1.814435154E2,1.468792892E2,1.654609682E1,2.472416867E2,7.330481663E-1,4.770152296E0,3.327188618E0,-1.000000000E0
3.998264372E1,4.293419496E1,-7.887388899E1,1.807974208E2,1.462332820E2,1.673803773E1,2.472333927E2,7.502608290E-1,4.771283298E0,3.325566527E0,-1.000000000E0
4.098265028E1,4.293413811E1,-7.887408565E1,1.801548585E2,1.455908053E2,1.703907938E1,2.485659466E2,7.671223661E-1,4.769805527E0,3.327685723E0,-1.000000000E0
4.198265731E1,4.293408936E1,-7.887428178E1,1.796743390E2,1.451103511E2,1.706935955E1,2.515063954E2,7.843909999E-1,4.769280684E0,3.328437891E0,-1.000000000E0
4.298266268E1,4.293405333E1,-7.887448811E1,1.792284947E2,1.446645374E2,1.720319995E1,2.554539751E2,8.015894348E-1,4.767496691E0,3.330992695E0,-1.000000000E0
4.398266768E1,4.293403264E1,-7.887469747E1,1.786867951E2,1.441228290E2,1.722657542E1,2.596127464E2,8.193863171E-1,4.772838210E0,3.323334538E0,-1.000000000E0
4.498267150E1,4.293402786E1,-7.887491598E1,1.777102130E2,1.431461954E2,1.746398818E1,2.645557003E2,8.367405018E-1,4.776286763E0,3.318376379E0,-1.000000000E0
4.598267496E1,4.293402826E1,-7.887512915E1,1.774855111E2,1.429214307E2,1.730648951E1,2.684481792E2,8.539597994E-1,4.769095958E0,3.328702566E0,-1.000000000E0
4.698267877E1,4.293403962E1,-7.887534009E1,1.772426417E2,1.426784717E2,1.723451871E1,2.722457795E2,8.712974338E-1,4.767677418E0,3.330734014E0,-1.000000000E0
4.798268092E1,4.293406152E1,-7.887555094E1,1.770727770E2,1.425084910E2,1.712449114E1,2.765787737E2,8.884099966E-1,4.761764218E0,3.339182319E0,-1.000000000E0
4.898268318E1,4.293409333E1,-7.887575661E1,1.769611439E2,1.423967184E2,1.698871802E1,2.800583483E2,9.054982800E-1,4.760659880E0,3.340756582E0,-1.000000000E0
4.998268557E1,4.293412565E1,-7.887596182E1,1.768618977E2,1.422973317E2,1.693387941E1,2.810833684E2,9.223401349E-1,4.762959206E0,3.337477586E0,-1.000000000E0
5.098268771E1,4.293415790E1,-7.887616395E1,1.767081386E2,1.421434332E2,1.686796972E1,2.814800075E2,9.390831343E-1,4.762243207E0,3.338499165E0,-1.000000000E0
5.198268783E1,4.293418598E1,-7.887636600E1,1.767145621E2,1.421497276E2,1.688241468E1,2.814123004E2,9.558204148E-1,4.761832667E0,3.339084708E0,-1.000000000E0
5.298268890E1,4.293421813E1,-7.887656685E1,1.765671675E2,1.420021942E2,1.677697654E1,2.815199413E2,9.726885298E-1,4.761105252E0,3.340121826E0,-1.000000000E0
5.398268950E1,4.293424630E1,-7.887677045E1,1.765506005E2,1.419854975E2,1.674640652E1,2.810190645E2,9.893826422E-1,4.758211830E0,3.344242398E0,-1.000000000E0
5.498268950E1,4.293427503E1,-7.887697172E1,1.767141471E2,1.421489138E2,1.667017138E1,2.808447469E2,1.005765367E0,4.758090726E0,3.344414698E0,-1.000000000E0
5.598268878E1,4.293430467E1,-7.887716885E1,1.766812332E2,1.421158685E2,1.649279325E1,2.812597108E2,1.022068128E0,4.758690475E0,3.343561275E0,-1.000000000E0
5.698268795E1,4.293433293E1,-7.887736535E1,1.769276825E2,1.423621899E2,1.631042630E1,2.809778285E2,1.038741789E0,4.758564351E0,3.343740772E0,-1.000000000E0
5.798268747E1,4.293436192E1,-7.887756629E1,1.770324246E2,1.424668011E2,1.646732359E1,2.806946978E2,1.054692519E0,4.759448489E0,3.342482179E0,-1.000000000E0
5.898268652E1,4.293438554E1,-7.887775955E1,1.776476401E2,1.430819015E2,1.621030994E1,2.799615940E2,1.071183168E0,4.773865329E0,3.321858946E0,-1.000000000E0
5.998268580E1,4.293441302E1,-7.887795861E1,1.777050912E2,1.431392260E2,1.625954695E1,2.803562263E2,1.086284554E0,4.765340425E0,3.334076734E0,-1.000000000E0
6.098268414E1,4.293444682E1,-7.887813827E1,1.779482139E2,1.433822119E2,1.578092205E1,2.822311399E2,1.102796424E0,4.755465317E0,3.348146749E0,-1.000000000E0
6.198268282E1,4.293448913E1,-7.887833269E1,1.796329645E2,1.450668002E2,1.601496973E1,2.848804383E2,1.118168564E0,4.757315069E0,3.345517953E0,-1.000000000E0
6.298268032E1,4.293452796E1,-7.887851391E1,1.773904232E2,1.428241090E2,1.567295421E1,2.872331623E2,1.134096221E0,4.757113574E0,3.345804460E0,-1.000000000E0
6.398267913E1,4.293457965E1,-7.887869638E1,1.782914034E2,1.437249068E2,1.583206559E1,2.909044983E2,1.149782829E0,4.754990927E0,3.348820437E0,-1.000000000E0
6.498267663E1,4.293464009E1,-7.887887049E1,1.784858060E2,1.439191075E2,1.581758107E1,2.947297579E2,1.166365407E0,4.755143580E0,3.348603675E0,-1.000000000E0
6.598267400E1,4.293471603E1,-7.887904580E1,1.785882175E2,1.440212781E2,1.607943500E1,2.988102663E2,1.183305576E0,4.758348183E0,3.344048385E0,-1.000000000E0
6.698267126E1,4.293480241E1,-7.887921720E1,1.786180570E2,1.440508514E2,1.633726755E1,3.028644523E2,1.200010776E0,4.757736837E0,3.344918119E0,-1.000000000E0
6.798266923E1,4.293489109E1,-7.887938283E1,1.788608317E2,1.442933560E2,1.658354372E1,3.059114187E2,1.217152005E0,4.759868507E0,3.341884025E0,-1.000000000E0
6.898266649E1,4.293499160E1,-7.887954249E1,1.787078102E2,1.441400365E2,1.692623062E1,3.101070483E2,1.234783576E0,4.756277699E0,3.346992603E0,-1.000000000E0
6.998266327E1,4.293510696E1,-7.887969107E1,1.790336433E2,1.444655376E2,1.729849334E1,3.144128658E2,1.252887731E0,4.758490311E0,3.343846138E0,-1.000000000E0
7.098266089E1,4.293522835E1,-7.887983928E1,1.792684203E2,1.446999676E2,1.777653266E1,3.179508621E2,1.270844091E0,4.764029048E0,3.335950278E0,-1.000000000E0
7.198265803E1,4.293535986E1,-7.887996728E1,1.792374170E2,1.446685978E2,1.784728016E1,3.228146136E2,1.288679845E0,4.758739433E0,3.343491594E0,-1.000000000E0
7.298265517E1,4.293549776E1,-7.888007919E1,1.790483772E2,1.444791802E2,1.751138279E1,3.272532225E2,1.305821355E0,4.763556128E0,3.336625547E0,-1.000000000E0
7.398265147E1,4.293563488E1,-7.888017541E1,1.792303878E2,1.446608195E2,1.704141265E1,3.310694000E2,1.323031237E0,4.774422802E0,3.321057653E0,-1.000000000E0
7.498264837E1,4.293577381E1,-7.888026856E1,1.791496917E2,1.445797484E2,1.685244387E1,3.326870517E2,1.339877200E0,4.788945800E0,3.300081083E0,-1.000000000E0
7.598264420E1,4.293590610E1,-7.888036942E1,1.792260172E2,1.446557134E2,1.673000404E1,3.310859463E2,1.356471960E0,4.771343046E0,3.325480803E0,-1.000000000E0
