"event","experiment time","system time","system time text"
"START",0.000000000E0,1729808486.098,"2024-10-24 18:21:26.098 UTC-04:00"
"PAUSE",3.540948721E2,1729808840.192,"2024-10-24 18:27:20.192 UTC-04:00"
