"event","experiment time","system time","system time text"
"START",0.000000000E0,1729459573.073,"2024-10-20 17:26:13.073 UTC-04:00"
"PAUSE",9.266523090E1,1729459665.738,"2024-10-20 17:27:45.738 UTC-04:00"
