"event","experiment time","system time","system time text"
"START",0.000000000E0,1729462028.957,"2024-10-20 18:07:08.957 UTC-04:00"
"PAUSE",1.593165985E2,1729462188.274,"2024-10-20 18:09:48.274 UTC-04:00"
