"event","experiment time","system time","system time text"
"START",0.000000000E0,1729804319.168,"2024-10-24 17:11:59.168 UTC-04:00"
"PAUSE",2.193092739E1,1729804341.099,"2024-10-24 17:12:21.099 UTC-04:00"
