"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.758480699E1,4.299894000E1,-7.879149500E1,1.834057473E2,1.125697494E0,7.090000153E0,1.500000000E0,7.099999905E0
3.858480699E1,4.299895333E1,-7.879149000E1,1.835057801E2,1.147315860E0,6.130000114E0,1.500000000E0,7.000000000E0
3.958480699E1,4.299896667E1,-7.879149333E1,1.834058150E2,1.149374723E0,3.581600037E2,1.500000000E0,6.800000191E0
4.058480699E1,4.299898000E1,-7.879149500E1,1.835058495E2,1.166875243E0,2.660000086E0,1.500000000E0,6.800000191E0
4.158480699E1,4.299899167E1,-7.879149333E1,1.836058789E2,1.194155574E0,1.043000031E1,1.500000000E0,7.000000000E0
4.258480699E1,4.299900500E1,-7.879148833E1,1.835059117E2,1.226068377E0,1.909999967E0,1.500000000E0,7.099999905E0
4.358480699E1,4.299901667E1,-7.879148833E1,1.835059416E2,1.254378080E0,3.779999971E0,1.500000000E0,7.400000095E0
4.458480699E1,4.299902500E1,-7.879149000E1,1.836059633E2,1.255922198E0,3.544100037E2,1.500000000E0,7.099999905E0
4.558480699E1,4.299903333E1,-7.879149000E1,1.838059846E2,1.263128281E0,3.497600098E2,1.500000000E0,6.900000095E0
4.658480699E1,4.299904333E1,-7.879149000E1,1.838060101E2,1.228127241E0,3.147000122E2,1.500000000E0,7.199999809E0
4.758480699E1,4.299904333E1,-7.879149333E1,1.840060110E2,1.165331125E0,2.711700134E2,1.500000000E0,7.000000000E0
4.858480699E1,4.299903333E1,-7.879150000E1,1.840059871E2,1.095843554E0,2.172899933E2,1.500000000E0,7.000000000E0
4.958480699E1,4.299902667E1,-7.879150500E1,1.842059713E2,1.047459722E0,2.395399933E2,1.500000000E0,7.000000000E0
5.058480699E1,4.299901667E1,-7.879151333E1,1.843059479E2,1.040768385E0,2.159400024E2,1.500000000E0,7.199999809E0
5.158480699E1,4.299900167E1,-7.879151667E1,1.844059104E2,1.025841355E0,1.973800049E2,1.500000000E0,7.099999905E0
5.258480699E1,4.299899000E1,-7.879151833E1,1.843058810E2,9.887813926E-1,2.034299927E2,1.500000000E0,7.400000095E0
5.358480699E1,4.299897667E1,-7.879152167E1,1.839058477E2,1.001649499E0,1.950599976E2,1.500000000E0,7.500000000E0
5.458480699E1,4.299896333E1,-7.879152500E1,1.840058145E2,1.038709402E0,1.964199982E2,1.500000000E0,7.400000095E0
5.558480699E1,4.299895500E1,-7.879152667E1,1.839057936E2,1.042312503E0,2.151000061E2,1.500000000E0,7.199999809E0
5.658480699E1,4.299894667E1,-7.879153167E1,1.841057736E2,1.091211081E0,2.077599945E2,1.500000000E0,7.099999905E0
5.758480699E1,4.299893500E1,-7.879153500E1,1.841057446E2,1.169448853E0,1.899400024E2,1.500000000E0,6.900000095E0
5.858480699E1,4.299892500E1,-7.879153833E1,1.838057199E2,1.217318058E0,1.998300018E2,1.500000000E0,7.300000191E0
5.958480699E1,4.299891667E1,-7.879154667E1,1.844057007E2,1.250774980E0,1.990700073E2,1.500000000E0,7.400000095E0
6.058480699E1,4.299890500E1,-7.879155333E1,1.845056725E2,1.262098908E0,1.957200012E2,1.500000000E0,7.500000000E0
6.158480699E1,4.299889667E1,-7.879155667E1,1.851056521E2,1.253863335E0,1.962299957E2,1.500000000E0,7.599999905E0
6.258480699E1,4.299888667E1,-7.879156000E1,1.848056274E2,1.277540565E0,1.953099976E2,1.500000000E0,7.300000191E0
6.358480699E1,4.299887500E1,-7.879156833E1,1.850055997E2,1.278055310E0,2.080399933E2,1.500000000E0,7.300000191E0
6.458480699E1,4.299886167E1,-7.879158000E1,1.846055685E2,1.307909131E0,1.938300018E2,1.500000000E0,7.300000191E0
6.558480699E1,4.299884833E1,-7.879159000E1,1.843055370E2,1.372249484E0,1.926199951E2,1.600000024E0,7.599999905E0
6.658480699E1,4.299883500E1,-7.879159333E1,1.842055037E2,1.383058667E0,1.945299988E2,1.600000024E0,7.599999905E0
6.758480699E1,4.299882667E1,-7.879159667E1,1.844054833E2,1.356293082E0,1.888399963E2,1.500000000E0,7.300000191E0
6.858480699E1,4.299881500E1,-7.879160167E1,1.847054547E2,1.370705247E0,1.965500031E2,1.500000000E0,7.400000095E0
6.958480699E1,4.299880500E1,-7.879160333E1,1.849054296E2,1.387176394E0,1.897100067E2,1.500000000E0,7.599999905E0
7.058480699E1,4.299879000E1,-7.879160667E1,1.848053921E2,1.390264750E0,1.952299957E2,1.500000000E0,7.199999809E0
7.158480699E1,4.299878167E1,-7.879161167E1,1.847053720E2,1.389750004E0,1.983899994E2,1.500000000E0,7.300000191E0
7.258480699E1,4.299877333E1,-7.879161667E1,1.850053520E2,1.390779495E0,1.962799988E2,1.500000000E0,7.199999809E0
7.358480699E1,4.299875833E1,-7.879162333E1,1.850053153E2,1.476223350E0,1.898899994E2,1.500000000E0,7.199999809E0
7.458480699E1,4.299874500E1,-7.879163000E1,1.847052830E2,1.452031374E0,1.959499969E2,1.600000024E0,7.300000191E0
7.558480699E1,4.299873667E1,-7.879163833E1,1.842052638E2,1.404162169E0,2.113300018E2,1.500000000E0,7.400000095E0
7.658480699E1,4.299872500E1,-7.879164667E1,1.840052360E2,1.420118570E0,2.110099945E2,1.500000000E0,7.300000191E0
7.758480699E1,4.299871500E1,-7.879165333E1,1.838052122E2,1.485488296E0,1.935299988E2,1.600000024E0,7.300000191E0
7.858480699E1,4.299870333E1,-7.879166000E1,1.835051840E2,1.495268106E0,1.961399994E2,1.500000000E0,7.099999905E0
7.958480699E1,4.299869333E1,-7.879166333E1,1.836051593E2,1.484973669E0,1.893000031E2,1.500000000E0,7.199999809E0
8.058480699E1,4.299868500E1,-7.879166833E1,1.837051393E2,1.483944178E0,1.973200073E2,1.500000000E0,7.199999809E0
8.158480699E1,4.299867500E1,-7.879167333E1,1.837051150E2,1.502988935E0,1.973699951E2,1.500000000E0,7.199999809E0
8.258480699E1,4.299866333E1,-7.879167833E1,1.836050864E2,1.514827490E0,1.942700043E2,1.500000000E0,7.099999905E0
8.358480699E1,4.299864833E1,-7.879168833E1,1.839050506E2,1.440707445E0,1.971499939E2,1.500000000E0,7.400000095E0
8.458480699E1,4.299863667E1,-7.879169000E1,1.839050212E2,1.443281054E0,2.030800018E2,1.500000000E0,6.900000095E0
8.558480699E1,4.299862833E1,-7.879169500E1,1.836050012E2,1.425780535E0,1.975599976E2,1.500000000E0,6.800000191E0
8.658480699E1,4.299861667E1,-7.879170000E1,1.835049726E2,1.392838359E0,2.021300049E2,1.500000000E0,6.800000191E0
8.758480699E1,4.299860500E1,-7.879170500E1,1.832049441E2,1.346513391E0,2.030800018E2,1.500000000E0,6.699999809E0
8.858480699E1,4.299859333E1,-7.879171167E1,1.830049159E2,1.393353105E0,1.961100006E2,1.500000000E0,6.900000095E0
8.958480699E1,4.299858000E1,-7.879171500E1,1.831048827E2,1.392838359E0,2.025800018E2,1.500000000E0,6.800000191E0
9.058480699E1,4.299856833E1,-7.879171667E1,1.831048533E2,1.411882997E0,1.791900024E2,1.500000000E0,6.800000191E0
9.158480699E1,4.299855500E1,-7.879172167E1,1.832048205E2,1.411368370E0,1.992899933E2,1.500000000E0,6.800000191E0
9.258480699E1,4.299854333E1,-7.879172833E1,1.831047924E2,1.396956086E0,1.989199982E2,1.500000000E0,6.800000191E0
9.358480699E1,4.299853333E1,-7.879173500E1,1.831047685E2,1.378940821E0,2.003000031E2,1.500000000E0,7.000000000E0
