"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.602762702E1,4.299875667E1,-7.879191667E1,1.863053852E2,1.089152217E0,2.151000023E1,1.700000048E0,1.339999962E1
3.702762702E1,4.299877000E1,-7.879191000E1,1.861054176E2,1.079887271E0,2.794000053E1,1.700000048E0,1.330000019E1
3.802762702E1,4.299878333E1,-7.879190167E1,1.860054496E2,1.075769424E0,2.988999939E1,1.700000048E0,1.400000000E1
3.902762702E1,4.299879000E1,-7.879189000E1,1.861054637E2,1.012973309E0,3.057999992E1,1.700000048E0,1.450000000E1
4.002762702E1,4.299880000E1,-7.879188000E1,1.862054867E2,1.044886112E0,3.520000076E1,1.700000048E0,1.480000019E1
4.102762702E1,4.299880833E1,-7.879187000E1,1.863055055E2,1.125697494E0,4.890000153E1,1.700000048E0,1.510000038E1
4.202762702E1,4.299881667E1,-7.879185667E1,1.863055234E2,1.171507835E0,3.920000076E1,1.700000048E0,1.519999981E1
4.302762702E1,4.299882500E1,-7.879184667E1,1.862055422E2,1.182316899E0,3.188999939E1,1.700000048E0,1.289999962E1
4.402762702E1,4.299883500E1,-7.879183667E1,1.861055652E2,1.180258036E0,4.325000000E1,1.700000048E0,1.310000038E1
4.502762702E1,4.299884167E1,-7.879182500E1,1.861055793E2,1.181802273E0,4.552000046E1,1.700000048E0,1.360000038E1
4.602762702E1,4.299884667E1,-7.879181500E1,1.865055896E2,1.205479503E0,5.490999985E1,1.700000048E0,1.460000038E1
4.702762702E1,4.299885333E1,-7.879180667E1,1.869056045E2,1.203420520E0,4.911999893E1,1.700000048E0,1.460000038E1
4.802762702E1,4.299886000E1,-7.879179833E1,1.873056194E2,1.205994129E0,6.168000031E1,1.700000048E0,1.510000038E1
4.902762702E1,4.299886667E1,-7.879178667E1,1.877056335E2,1.225038886E0,5.543999863E1,1.700000048E0,1.469999981E1
5.002762702E1,4.299887167E1,-7.879177000E1,1.883056421E2,1.236877441E0,6.475000000E1,1.700000048E0,1.510000038E1
5.102762702E1,4.299887833E1,-7.879175000E1,1.886056541E2,1.222980022E0,6.043999863E1,1.700000048E0,1.550000000E1
5.202762702E1,4.299888500E1,-7.879173500E1,1.888056673E2,1.205994129E0,5.597000122E1,1.700000048E0,1.670000076E1
5.302762702E1,4.299889000E1,-7.879172167E1,1.889056767E2,1.208053112E0,6.106999969E1,1.700000048E0,1.729999924E1
5.402762702E1,4.299889667E1,-7.879170000E1,1.890056883E2,1.218862176E0,6.659999847E1,1.700000048E0,1.580000019E1
5.502762702E1,4.299890333E1,-7.879168500E1,1.892057016E2,1.230700850E0,6.231000137E1,1.700000048E0,1.550000000E1
5.602762702E1,4.299891000E1,-7.879167000E1,1.893057148E2,1.234818578E0,6.637999725E1,1.700000048E0,1.550000000E1
5.702762702E1,4.299891333E1,-7.879165833E1,1.893057204E2,1.233789206E0,7.755000305E1,1.700000048E0,1.600000000E1
5.802762702E1,4.299891500E1,-7.879164667E1,1.892057217E2,1.205994129E0,6.891999817E1,1.700000048E0,1.519999981E1
5.902762702E1,4.299891333E1,-7.879163000E1,1.893057132E2,1.179228663E0,8.302999878E1,1.700000048E0,1.519999981E1
6.002762702E1,4.299890667E1,-7.879161667E1,1.889056928E2,1.162242770E0,1.147300034E2,1.700000048E0,1.180000019E1
6.102762702E1,4.299890000E1,-7.879160500E1,1.885056728E2,1.144227505E0,1.080000000E2,1.700000048E0,1.100000000E1
6.202762702E1,4.299889667E1,-7.879159167E1,1.884056609E2,1.167389989E0,1.084499969E2,1.700000048E0,1.089999962E1
6.302762702E1,4.299889000E1,-7.879157833E1,1.880056405E2,1.168934226E0,1.122099991E2,1.700000048E0,1.089999962E1
6.402762702E1,4.299888333E1,-7.879156667E1,1.879056205E2,1.183346391E0,1.166600037E2,1.799999952E0,1.089999962E1
6.502762702E1,4.299887500E1,-7.879155333E1,1.877055959E2,1.181287527E0,1.182300034E2,1.700000048E0,1.089999962E1
6.602762702E1,4.299886833E1,-7.879154167E1,1.877055759E2,1.177684426E0,1.202699966E2,1.700000048E0,1.000000000E1
6.702762702E1,4.299886333E1,-7.879152833E1,1.878055597E2,1.209082484E0,1.298999939E2,1.700000048E0,9.600000381E0
6.802762702E1,4.299885667E1,-7.879151667E1,1.878055397E2,1.230700850E0,1.315200043E2,1.700000048E0,9.800000191E0
6.902762702E1,4.299885167E1,-7.879150333E1,1.877055236E2,1.258495808E0,1.364199982E2,1.700000048E0,1.000000000E1
7.002762702E1,4.299884667E1,-7.879149000E1,1.874055074E2,1.280628920E0,1.336799927E2,1.700000048E0,1.010000038E1
7.102762702E1,4.299884167E1,-7.879147667E1,1.873054913E2,1.284231901E0,1.353399963E2,1.700000048E0,1.000000000E1
7.202762702E1,4.299883500E1,-7.879146333E1,1.872054709E2,1.314085841E0,1.376799927E2,1.700000048E0,9.899999619E0
7.302762702E1,4.299882667E1,-7.879144500E1,1.871054450E2,1.327983379E0,1.283999939E2,1.799999952E0,1.000000000E1
7.402762702E1,4.299881667E1,-7.879142833E1,1.870054152E2,1.324895024E0,1.396399994E2,1.700000048E0,9.699999809E0
7.502762702E1,4.299880833E1,-7.879141833E1,1.869053913E2,1.327468634E0,1.442100067E2,1.700000048E0,9.500000000E0
7.602762702E1,4.299879667E1,-7.879141000E1,1.865053594E2,1.360410810E0,1.607700043E2,1.700000048E0,9.600000381E0
7.702762702E1,4.299878500E1,-7.879140167E1,1.863053275E2,1.361955047E0,1.558800049E2,1.700000048E0,9.800000191E0
7.802762702E1,4.299877500E1,-7.879139500E1,1.861053002E2,1.376881957E0,1.559199982E2,1.700000048E0,1.010000038E1
7.902762702E1,4.299876167E1,-7.879138500E1,1.861052636E2,1.374308348E0,1.579299927E2,1.700000048E0,1.010000038E1
8.002762702E1,4.299874500E1,-7.879137667E1,1.863052189E2,1.409309387E0,1.555299988E2,1.700000048E0,1.000000000E1
8.102762702E1,4.299873333E1,-7.879136833E1,1.864051870E2,1.439678073E0,1.531300049E2,1.700000048E0,9.500000000E0
8.202762702E1,4.299872167E1,-7.879136000E1,1.868051551E2,1.428354144E0,1.665800018E2,1.700000048E0,9.800000191E0
8.302762702E1,4.299870833E1,-7.879135167E1,1.870051189E2,1.426295280E0,1.543800049E2,1.700000048E0,1.030000019E1
8.402762702E1,4.299869500E1,-7.879134833E1,1.869050840E2,1.445854664E0,1.472200012E2,1.700000048E0,9.399999619E0
8.502762702E1,4.299868000E1,-7.879134500E1,1.869050448E2,1.455119729E0,1.533899994E2,1.700000048E0,9.500000000E0
8.602762702E1,4.299866833E1,-7.879135000E1,1.868050162E2,1.423721671E0,1.864299927E2,1.700000048E0,9.500000000E0
8.702762702E1,4.299865833E1,-7.879135500E1,1.867049919E2,1.403132796E0,1.799199982E2,1.700000048E0,1.030000019E1
8.802762702E1,4.299864500E1,-7.879135833E1,1.866049587E2,1.404162169E0,1.878800049E2,1.700000048E0,1.050000000E1
8.902762702E1,4.299863333E1,-7.879136333E1,1.866049301E2,1.405706406E0,1.897200012E2,1.700000048E0,1.030000019E1
9.002762702E1,4.299862333E1,-7.879136500E1,1.860049050E2,1.369161129E0,1.949100037E2,1.700000048E0,9.800000191E0
9.102762702E1,4.299861333E1,-7.879136500E1,1.856048794E2,1.317174196E0,1.843000031E2,1.700000048E0,9.800000191E0
