"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.667286337E0,5.748099834E-2,-1.037710011E-1,-9.971029758E-1
1.687330271E0,4.279199988E-2,-1.014930010E-1,-1.017442942E0
1.707373964E0,-6.186899915E-2,-7.857000455E-3,-1.171365976E0
1.727417957E0,4.218700156E-2,-6.963200122E-2,-1.033166051E0
1.747461728E0,5.886999890E-3,-9.566599876E-2,-1.037655950E0
1.767505654E0,3.441499919E-2,-3.807500005E-2,-9.442780018E-1
1.787549425E0,9.676799923E-2,-6.931400299E-2,-9.378709793E-1
1.807593346E0,9.127700329E-2,-1.647900045E-1,-9.087380171E-1
1.827637127E0,1.109390035E-1,-2.051260024E-1,-7.968680263E-1
1.847681048E0,4.820499942E-2,-2.230999991E-2,-1.019083977E0
1.867725034E0,1.151510030E-1,1.879999996E-3,-1.121168017E0
1.887768805E0,-1.241390035E-1,3.437300026E-2,-7.347429991E-1
1.907812745E0,3.947500139E-2,-4.676900059E-2,-3.600740135E-1
1.927856517E0,3.849099949E-2,-1.011840031E-1,-3.065539896E-1
1.947900453E0,-1.298040003E-1,-4.408999812E-3,-5.032320023E-1
1.967944224E0,1.555999974E-3,-5.137199908E-2,-8.186420202E-1
1.987988154E0,1.151250005E-1,-9.039899707E-2,-9.069949985E-1
2.008031925E0,8.493500203E-2,-3.477999941E-3,-1.102758050E0
2.028075838E0,8.823399991E-2,-6.448700279E-2,-1.109251022E0
2.048119599E0,9.217000008E-2,-1.264010072E-1,-9.250869751E-1
2.068163515E0,-1.354999957E-3,-1.087879986E-1,-1.019345999E0
2.088207262E0,-2.336500026E-2,-1.103420034E-1,-8.630959988E-1
2.108251164E0,4.337099940E-2,-1.173690036E-1,-6.608380079E-1
2.128294945E0,4.648499936E-2,-3.166799992E-2,-9.470270276E-1
2.148338948E0,1.536590010E-1,-9.270899743E-2,-9.782860279E-1
2.168382854E0,1.889999956E-2,-9.907600284E-2,-7.561540008E-1
2.188426642E0,5.646499991E-2,-1.677110046E-1,-7.852129936E-1
2.208470577E0,8.827900141E-2,-6.441800296E-2,-1.120736957E0
2.228514343E0,4.752099887E-2,-8.173400164E-2,-9.042019844E-1
2.248558265E0,5.665599927E-2,-9.969700128E-2,-7.432960272E-1
2.268602022E0,8.317399770E-2,-7.765500247E-2,-7.476009727E-1
2.288645943E0,-6.142599881E-2,1.120899990E-2,-8.492519855E-1
2.308689947E0,-2.555200085E-2,-1.097999979E-3,-8.129870296E-1
2.328733704E0,-1.580799930E-2,-6.212199852E-2,-6.106190085E-1
2.348777654E0,4.557599872E-2,-1.188250035E-1,-5.253649950E-1
2.368821435E0,6.073499843E-2,-1.026619971E-1,-8.118709922E-1
2.388865361E0,5.493399873E-2,3.847900033E-2,-1.135736942E0
2.408909132E0,8.174300194E-2,5.197999999E-3,-1.143327951E0
2.428953067E0,1.918299943E-1,-1.329569966E-1,-8.825730085E-1
2.448996830E0,1.829120070E-1,-1.647450030E-1,-6.419929862E-1
2.469040813E0,-3.134000115E-3,-1.353600025E-1,-5.459610224E-1
2.489084743E0,-6.014300138E-2,-2.080249935E-1,-3.601160049E-1
2.509128507E0,-8.203999698E-2,-4.818199947E-2,-6.004710197E-1
2.529172423E0,3.061600029E-2,-4.742800072E-2,-8.852580190E-1
2.549216214E0,2.930600010E-2,-7.101800293E-2,-8.267359734E-1
2.569260135E0,4.227200150E-2,-1.496499963E-2,-9.187039733E-1
2.589303892E0,9.238400310E-2,-5.772000179E-3,-9.678800106E-1
2.609347818E0,-2.376999939E-3,-2.044899948E-2,-6.949639916E-1
2.629391818E0,-9.856799990E-2,8.759999648E-3,-4.533770084E-1
2.649435622E0,-3.620500118E-2,-6.152699888E-2,-2.562429905E-1
2.669479529E0,-5.651599914E-2,-2.291999944E-2,-4.715299904E-1
2.689523311E0,-5.918199942E-2,6.071100011E-2,-8.312230110E-1
2.709567246E0,1.148770005E-1,-1.982999966E-3,-9.076669812E-1
2.729611265E0,1.629049927E-1,-1.023650020E-1,-6.529589891E-1
2.749654949E0,5.285400152E-2,-1.397709996E-1,-4.582389891E-1
2.769698942E0,2.347999951E-3,-1.242249981E-1,-6.148689985E-1
2.789742710E0,1.606900059E-2,-1.119450033E-1,-6.081190109E-1
2.809786640E0,-7.484999951E-3,-3.281000070E-3,-6.683350205E-1
2.829830392E0,7.804799825E-2,-3.525999933E-2,-8.074859977E-1
2.849874318E0,8.409400284E-2,-4.571799934E-2,-7.239590287E-1
2.869918036E0,-2.736999886E-3,-6.413099915E-2,-6.399409771E-1
2.889962034E0,-2.475999994E-3,-4.908400029E-2,-5.254359841E-1
2.910005959E0,2.789499983E-2,-8.690500259E-2,-4.852930009E-1
2.930049709E0,9.045799822E-2,-4.789000005E-2,-5.935770273E-1
2.950093635E0,-2.623999957E-3,1.762400009E-2,-5.770779848E-1
2.970137392E0,6.397199631E-2,-5.529800057E-2,-4.442510009E-1
2.990181298E0,-4.655800015E-2,2.860300057E-2,-5.731670260E-1
3.010225051E0,-2.415999956E-2,-1.316499989E-2,-3.966250122E-1
3.030268958E0,-4.035999998E-2,-4.869399965E-2,-8.163899928E-2
3.050312728E0,5.876599997E-2,-7.438299805E-2,-2.436809987E-1
3.070356741E0,-4.980700091E-2,-2.189599909E-2,-5.543889999E-1
3.090400671E0,1.040809974E-1,2.206500061E-2,-9.873210192E-1
