"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.694597140E0,-3.653800115E-2,1.619089991E-1,4.393000156E-3
1.714640827E0,-3.194100037E-2,1.220699996E-1,1.002500020E-2
1.734684520E0,1.137759984E-1,-4.048800096E-2,8.054900169E-2
1.754728212E0,-1.338800043E-2,-9.844000451E-3,6.107800081E-2
1.774771909E0,5.517200008E-2,-4.747999832E-2,4.824800044E-2
1.794815587E0,1.345259994E-1,-1.626179963E-1,6.586500257E-2
1.814859218E0,-5.626999773E-3,-5.930700153E-2,-6.278099865E-2
1.834903000E0,-3.005700000E-2,-4.520399868E-2,-5.145100132E-2
1.854946608E0,1.797600091E-2,-1.367470026E-1,4.234020114E-1
1.874990380E0,-8.055599779E-2,-1.059449986E-1,5.923709869E-1
1.895034017E0,-3.220300004E-2,-1.815499924E-2,3.370609879E-1
1.915077697E0,-8.544299752E-2,1.560319960E-1,1.709969938E-1
1.935121380E0,-1.016300023E-1,9.034399688E-2,4.647330046E-1
1.955165087E0,-3.137100115E-2,8.124899864E-2,8.975359797E-1
1.975208755E0,-1.204899978E-2,1.697960049E-1,6.224489808E-1
1.995252476E0,1.243900042E-2,1.950020045E-1,6.710410118E-1
2.015296150E0,9.370999783E-2,1.208430007E-1,7.079439759E-1
2.035339846E0,3.276500106E-2,1.488839984E-1,6.082360148E-1
2.055383524E0,-1.917500049E-2,1.092170030E-1,4.919529855E-1
2.075427217E0,3.587200120E-2,7.232099771E-2,5.589240193E-1
2.095470889E0,3.658999875E-2,4.760000110E-2,7.117890120E-1
2.115514596E0,-3.990000114E-2,8.518599719E-2,6.487690210E-1
2.135558274E0,-2.164700069E-2,-1.818599924E-2,8.084130287E-1
2.155601957E0,4.040699825E-2,2.554900013E-2,7.142210007E-1
2.175645678E0,-1.860000007E-2,4.729299992E-2,6.754770279E-1
2.195689141E0,7.112800330E-2,-3.531000018E-2,6.884229779E-1
2.215733048E0,7.326699793E-2,-1.393199991E-2,7.642400265E-1
2.235776757E0,-7.227399945E-2,8.376999944E-2,6.319919825E-1
2.255820223E0,8.493999951E-3,6.885000318E-2,6.648039818E-1
2.275864125E0,2.576900087E-2,1.463599969E-2,8.295900226E-1
2.295907603E0,-1.100429967E-1,9.609799832E-2,9.051929712E-1
2.315951279E0,2.174899913E-2,5.402500182E-2,9.360569715E-1
2.335994986E0,-2.198700048E-2,1.376399994E-1,7.905960083E-1
2.356038909E0,-5.114600062E-2,1.507869959E-1,8.004779816E-1
2.376082367E0,2.915900014E-2,7.153300196E-2,9.775789976E-1
2.396126058E0,-8.764199913E-2,9.133300185E-2,1.094853044E0
2.416169760E0,-3.741899878E-2,1.026439965E-1,9.278270006E-1
2.436213437E0,-1.006199978E-2,1.196930036E-1,9.256430268E-1
2.456257140E0,-7.700300217E-2,8.128400147E-2,9.374340177E-1
2.476300822E0,-6.549999816E-4,4.598100111E-2,1.037127018E0
2.496344500E0,4.171299934E-2,2.931700088E-2,1.000795960E0
2.516388188E0,-2.877499908E-2,1.438869983E-1,8.407660127E-1
2.536431894E0,-1.396000036E-3,8.463700116E-2,7.326899767E-1
2.556475573E0,3.164799884E-2,1.650499925E-2,1.010349035E0
2.576519274E0,-7.668499649E-2,1.056279987E-1,9.139479995E-1
2.596562891E0,1.233899966E-2,5.222300068E-2,8.418670297E-1
2.616606578E0,1.984599978E-2,2.717499994E-2,1.085158944E0
2.636650274E0,9.092000313E-3,8.464100212E-2,1.022820950E0
2.656693971E0,1.567999949E-3,6.822600216E-2,9.027680159E-1
2.676737659E0,7.381799817E-2,5.642399937E-2,8.500279784E-1
2.696781370E0,5.973000079E-3,1.300150007E-1,8.167279959E-1
2.716825058E0,-6.429000199E-2,9.661699831E-2,8.121610284E-1
2.736868755E0,-2.885000082E-3,1.467899978E-2,8.520179987E-1
2.756912461E0,2.528100088E-2,2.550500073E-2,9.760529995E-1
2.776956145E0,-3.990000114E-2,1.379629970E-1,8.868809938E-1
2.796999803E0,6.256899983E-2,5.855700001E-2,8.938999772E-1
2.817043490E0,8.695100248E-2,6.806399673E-2,9.727129936E-1
2.837087188E0,-3.014300019E-2,1.141780019E-1,8.767399788E-1
2.857130875E0,2.223099954E-2,1.413100027E-2,9.529910088E-1
2.877174582E0,1.515499968E-2,1.166999992E-2,1.021715999E0
2.897218041E0,-2.636500075E-2,7.245600224E-2,8.945779800E-1
2.917261740E0,1.040000003E-3,5.684699863E-2,7.176809907E-1
2.937305448E0,3.551600128E-2,5.350000039E-2,7.104369998E-1
2.957349140E0,-3.265000135E-2,2.679700032E-2,8.294979930E-1
2.977392846E0,-2.964100055E-2,2.043900080E-2,8.980699778E-1
2.997436529E0,6.146000233E-3,-2.640100010E-2,1.007115960E0
3.017480221E0,9.100999683E-3,1.360000024E-4,1.006111026E0
3.037523913E0,1.960499957E-2,-1.576000010E-3,9.886509776E-1
3.057567611E0,-1.281700004E-2,2.307000011E-2,8.590149879E-1
3.077611316E0,-5.929100141E-2,3.690699860E-2,8.088189960E-1
3.097655018E0,-6.839299947E-2,6.094599888E-2,7.421510220E-1
3.117698745E0,-1.066209972E-1,9.505099803E-2,7.086489797E-1
3.137742366E0,-3.841999918E-2,1.254600007E-2,8.068259954E-1
3.157786120E0,-4.928899929E-2,5.653899908E-2,8.658559918E-1
3.177829800E0,-2.254699916E-2,-2.291999990E-3,9.898099899E-1
3.197873491E0,8.372999728E-3,-2.725000028E-3,7.788209915E-1
3.217917103E0,2.795000095E-3,4.740099981E-2,7.808499932E-1
3.237960773E0,5.125899985E-2,3.044199944E-2,6.321939826E-1
3.258004457E0,7.395999972E-3,6.975899637E-2,7.013610005E-1
3.278048140E0,-7.337000221E-3,7.378499955E-2,8.402510285E-1
3.298091817E0,3.990099952E-2,6.175899878E-2,7.917500138E-1
3.318135509E0,5.322299898E-2,-1.084399968E-2,9.847080112E-1
3.338179207E0,2.523799986E-2,-5.770999938E-3,1.063141942E0
3.358222904E0,-1.577799954E-2,6.079300120E-2,7.878310084E-1
3.378266353E0,2.365000080E-3,5.394700170E-2,5.223320127E-1
3.398310029E0,-1.914099976E-2,7.606200129E-2,5.728579760E-1
3.418353721E0,-2.462100051E-2,1.099769995E-1,6.950809956E-1
3.438397390E0,-1.812100038E-2,1.167339981E-1,7.600340247E-1
3.458441082E0,-3.404999897E-2,6.904199719E-2,7.790420055E-1
3.478484784E0,2.191100083E-2,2.021300048E-2,8.960170150E-1
3.498528481E0,5.497400090E-2,-1.008000039E-2,8.046900034E-1
3.518572168E0,-2.601299994E-2,5.547099933E-2,6.778690219E-1
3.538615871E0,-3.068999946E-2,1.197979972E-1,6.063449979E-1
3.558659577E0,2.352299914E-2,6.210500002E-2,6.234049797E-1
3.578703194E0,1.322400011E-2,-3.684999887E-3,7.068610191E-1
3.598746890E0,-5.681000184E-3,-2.716000006E-2,7.015079856E-1
3.618790596E0,-1.676099934E-2,-1.003200002E-2,6.268749833E-1
3.638834365E0,-1.783300005E-2,2.254799940E-2,5.384860039E-1
3.658878041E0,-3.599900007E-2,1.130239964E-1,4.171119928E-1
3.678921666E0,1.652400009E-2,1.304289997E-1,3.509150147E-1
3.698965365E0,-1.457099989E-2,7.647500187E-2,5.039719939E-1
3.719009072E0,-1.040299982E-2,1.020000037E-2,8.170509934E-1
3.739052764E0,-5.198999774E-3,-3.941600025E-2,9.028189778E-1
3.759096486E0,-3.655799851E-2,4.400400072E-2,6.800500154E-1
3.779140178E0,7.166999858E-3,5.534699932E-2,5.872769952E-1
3.799183870E0,-3.055400029E-2,1.318359971E-1,4.418469965E-1
3.819227577E0,-3.808899969E-2,6.312099844E-2,5.428450108E-1
3.839271045E0,-1.767599955E-2,3.072700091E-2,6.026690006E-1
3.859314751E0,3.462599963E-2,-1.433600020E-2,5.524790287E-1
3.879358428E0,9.124999866E-3,7.027500123E-2,4.161289930E-1
3.899402135E0,-2.267600037E-2,5.593299866E-2,5.001090169E-1
3.919445828E0,-1.706299931E-2,9.405000135E-3,5.672410131E-1
3.939489519E0,7.612000220E-3,4.550699890E-2,4.335190058E-1
3.959533221E0,-3.549000015E-3,5.471700057E-2,4.166469872E-1
3.979576928E0,4.306299984E-2,-6.890000077E-4,5.603380203E-1
3.999620550E0,-3.127000062E-3,4.437199980E-2,5.362960100E-1
4.019664322E0,-5.623999983E-2,2.490299940E-2,4.263130128E-1
4.039708007E0,-5.617000163E-2,7.079999777E-4,3.909569979E-1
4.059751627E0,-8.996999823E-3,6.047600135E-2,2.551679909E-1
4.079795389E0,9.389000013E-3,2.687899955E-2,1.783239990E-1
4.099839007E0,4.154299945E-2,-2.187900059E-2,3.422009945E-1
4.119882697E0,5.698999856E-3,-5.183099955E-2,7.002750039E-1
4.139926390E0,1.021999982E-3,-2.933000028E-2,6.376000047E-1
4.159970068E0,-3.951999824E-3,1.768100075E-2,3.963760138E-1
4.180013745E0,-2.425000072E-3,5.379899964E-2,9.498299658E-2
4.200057467E0,1.235199999E-2,6.370000192E-4,1.307550073E-1
4.220101159E0,-2.005299926E-2,4.963999987E-2,3.725309968E-1
4.240144851E0,-6.936999969E-3,2.188299969E-2,3.894299865E-1
4.260188539E0,6.306999829E-3,3.135700151E-2,2.770459950E-1
4.280231992E0,4.203000106E-3,-1.199700031E-2,3.172259927E-1
4.300275683E0,2.554300055E-2,-4.937800020E-2,3.571279943E-1
4.320319361E0,1.433200017E-2,5.475000013E-3,3.666380048E-1
4.340363043E0,-2.328399941E-2,5.544799939E-2,1.490080059E-1
4.360406717E0,1.631500013E-2,4.610599950E-2,8.915899694E-2
4.380450404E0,1.051499974E-2,7.226000074E-3,2.756670117E-1
4.400494101E0,1.436400041E-2,2.357999980E-2,3.281689882E-1
4.420537704E0,-1.147599984E-2,2.884499915E-2,2.277619988E-1
4.440581399E0,3.845999949E-3,4.281499982E-2,1.154429987E-1
4.460625087E0,-6.188200042E-2,3.743299842E-2,2.662059963E-1
4.480668794E0,-1.288300008E-2,1.861600019E-2,3.380799890E-1
4.500712490E0,3.346100077E-2,2.219099924E-2,1.634690017E-1
4.520756169E0,-4.661900178E-2,2.083499916E-2,1.061069965E-1
4.540799861E0,-2.658499964E-2,-1.428799983E-2,1.009470001E-1
4.560843553E0,-1.511800010E-2,-3.308099881E-2,1.172100008E-1
4.580887021E0,-2.785700001E-2,-3.940000013E-2,1.694159955E-1
4.600930942E0,7.141999900E-3,-3.479100019E-2,1.574580073E-1
4.620974636E0,-6.232700124E-2,1.073100045E-2,-1.021599956E-2
4.641018098E0,1.389999967E-2,-1.534899976E-2,1.373200025E-2
4.661061798E0,-2.290999983E-3,-9.350000182E-4,4.230000079E-2
4.681105491E0,1.405499969E-2,3.382100165E-2,-4.606400058E-2
4.701149168E0,9.492999874E-3,-1.908900030E-2,-1.661279947E-1
4.721192846E0,2.822300047E-2,-3.979999945E-2,-1.829000004E-2
4.741236539E0,-3.844600171E-2,-6.279099733E-2,2.441319972E-1
4.761280212E0,3.088100068E-2,1.222100016E-2,1.074469984E-1
4.781323904E0,4.148299992E-2,3.356999950E-3,-7.596000098E-3
4.801367507E0,-1.354200020E-2,4.865499958E-2,1.217060015E-1
4.821411182E0,-2.356100082E-2,2.857300080E-2,1.119489968E-1
4.841454871E0,5.984999985E-2,-3.837199882E-2,8.348000050E-2
4.861498563E0,-2.865899913E-2,2.637599967E-2,4.517899826E-2
4.881542027E0,-3.259300068E-2,3.240700066E-2,-4.087800160E-2
