"event","experiment time","system time","system time text"
"START",0.000000000E0,1729462414.171,"2024-10-20 18:13:34.171 UTC-04:00"
"PAUSE",1.430421581E2,1729462557.213,"2024-10-20 18:15:57.213 UTC-04:00"
