"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729813475148551E9,"2024-10-24 19:44:35.149 UTC-04:00"
"PAUSE",1.449516891249950E2,1.729813620097462E9,"2024-10-24 19:47:00.097 UTC-04:00"
