"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469429.095,"2024-10-20 20:10:29.095 UTC-04:00"
"PAUSE",2.242093051E1,1729469451.516,"2024-10-20 20:10:51.516 UTC-04:00"
