"event","experiment time","system time","system time text"
"START",0.000000000E0,1729870019.821,"2024-10-25 11:26:59.821 UTC-04:00"
"PAUSE",2.097756767E2,1729870229.596,"2024-10-25 11:30:29.596 UTC-04:00"
