"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469345.631,"2024-10-20 20:09:05.631 UTC-04:00"
"PAUSE",2.486251515E1,1729469370.494,"2024-10-20 20:09:30.494 UTC-04:00"
