"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469718.116,"2024-10-20 20:15:18.116 UTC-04:00"
"PAUSE",2.729292754E1,1729469745.409,"2024-10-20 20:15:45.409 UTC-04:00"
