"event","experiment time","system time","system time text"
"START",0.000000000E0,1729466556.286,"2024-10-20 19:22:36.286 UTC-04:00"
"PAUSE",1.815069921E2,1729466737.793,"2024-10-20 19:25:37.793 UTC-04:00"
