"event","experiment time","system time","system time text"
"START",0.000000000E0,1729808912.723,"2024-10-24 18:28:32.723 UTC-04:00"
"PAUSE",2.335706728E2,1729809146.294,"2024-10-24 18:32:26.294 UTC-04:00"
