"event","experiment time","system time","system time text"
"START",0.000000000E0,1729467005.202,"2024-10-20 19:30:05.202 UTC-04:00"
"PAUSE",1.744745163E2,1729467179.677,"2024-10-20 19:32:59.677 UTC-04:00"
