"event","experiment time","system time","system time text"
"START",0.000000000E0,1729805547.964,"2024-10-24 17:32:27.964 UTC-04:00"
"PAUSE",2.674225011E1,1729805574.707,"2024-10-24 17:32:54.707 UTC-04:00"
