"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469534.799,"2024-10-20 20:12:14.799 UTC-04:00"
"PAUSE",2.516844989E1,1729469559.967,"2024-10-20 20:12:39.967 UTC-04:00"
