"event","experiment time","system time","system time text"
"START",0.000000000E0,1729624449.453,"2024-10-22 15:14:09.453 UTC-04:00"
"PAUSE",1.307058616E2,1729624580.158,"2024-10-22 15:16:20.158 UTC-04:00"
