"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469230.382,"2024-10-20 20:07:10.382 UTC-04:00"
"PAUSE",2.379315213E1,1729469254.175,"2024-10-20 20:07:34.175 UTC-04:00"
