"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.560497500E-1,1.595532074E0,9.265731812E-1,9.145232391E0,9.329498162E0
6.661077500E-1,1.951192474E0,9.599537659E-1,8.774303741E0,9.039749413E0
6.761647500E-1,1.659598846E0,1.140478363E0,8.846902771E0,9.073182896E0
6.862227500E-1,1.209185486E0,1.051413574E0,8.998687134E0,9.140239066E0
6.962797500E-1,9.352551270E-1,8.247848511E-1,9.033564606E0,9.119224840E0
7.063377500E-1,6.444099426E-1,6.108796692E-1,8.922794952E0,8.966867229E0
7.163947500E-1,6.481521606E-2,5.270539856E-1,9.216783600E0,9.232068395E0
7.264517500E-1,-4.489164734E-1,5.245092773E-1,9.562564545E0,9.587454128E0
7.365097500E-1,-5.733078003E-1,5.833369446E-1,9.715696106E0,9.750062289E0
7.465667500E-1,-4.170327759E-1,6.126759338E-1,9.854457550E0,9.882288285E0
7.566247500E-1,-7.559280396E-2,5.319937134E-1,9.912836151E0,9.927388989E0
7.666817500E-1,4.629872131E-1,4.255650330E-1,9.797126770E0,9.817288613E0
7.767397500E-1,1.012344818E0,2.853067017E-1,9.805509338E0,9.861757213E0
7.867967500E-1,1.349294128E0,2.465373230E-1,1.002824615E1,1.012161530E1
7.968547500E-1,1.425485687E0,3.420387268E-1,1.044183609E1,1.054423733E1
8.069117500E-1,1.589394836E0,4.079017639E-1,1.090646988E1,1.102921779E1
8.169697500E-1,1.771116943E0,5.572911072E-1,1.145747406E1,1.160694363E1
8.270267500E-1,2.106868744E0,5.203179932E-1,1.206281525E1,1.225647333E1
8.370847500E-1,2.282154236E0,3.763174438E-1,1.297546738E1,1.318000745E1
8.471417500E-1,1.206191711E0,1.088237000E-1,1.449899918E1,1.454949202E1
8.571997500E-1,6.313870239E-1,7.212002563E-1,1.596011078E1,1.598886849E1
8.672567500E-1,-3.439846802E-1,1.033450928E0,1.736329285E1,1.739742178E1
8.773137500E-1,-8.675958252E-1,2.594105530E-1,1.744487320E1,1.746836046E1
8.873717500E-1,-1.243613892E0,-2.589614868E-2,1.728350876E1,1.732821171E1
8.974287500E-1,-1.153351593E0,-4.879852295E-2,1.674567719E1,1.678541943E1
9.074867500E-1,-9.136999512E-1,5.239105225E-2,1.599543732E1,1.602159815E1
9.175437500E-1,-1.145717468E0,3.604504395E-1,1.526824951E1,1.531541825E1
9.276017500E-1,-1.186283112E0,5.123844910E-1,1.455004303E1,1.460731179E1
9.376587500E-1,-9.023236084E-1,6.146218872E-1,1.401670212E1,1.405915667E1
9.477167500E-1,-6.114784241E-1,8.458909607E-1,1.376118347E1,1.380071041E1
9.577737500E-1,-3.372486877E-1,1.208586731E0,1.382495087E1,1.388177528E1
9.678317500E-1,-2.883004761E-1,1.516197052E0,1.408031982E1,1.416465238E1
9.778887500E-1,-4.960684204E-1,1.604812775E0,1.453791824E1,1.463463613E1
9.879467500E-1,-7.078779602E-1,1.657802582E0,1.545086975E1,1.555566703E1
9.980037500E-1,-8.488847351E-1,1.630708923E0,1.654943527E1,1.665123493E1
1.008061750E0,-8.044271851E-1,1.445094910E0,1.762479904E1,1.770222991E1
1.018118750E0,-2.180964661E-1,1.045875092E0,1.870794662E1,1.873842810E1
1.028175750E0,3.817062378E-1,6.583309937E-1,1.937256454E1,1.938750516E1
1.038233750E0,8.893006897E-1,6.959028625E-1,1.948587891E1,1.951857098E1
1.048290750E0,1.160686340E0,4.908293152E-1,1.831636093E1,1.835966187E1
1.058348750E0,4.834945679E-1,7.544311523E-1,1.659179718E1,1.661597626E1
1.068405750E0,7.267387390E-1,1.215173035E0,1.519265671E1,1.525849313E1
1.078463750E0,7.203021240E-1,1.219514008E0,1.450319046E1,1.457218525E1
1.088520750E0,1.886077881E-1,1.146914978E0,1.381971176E1,1.386850461E1
1.098578750E0,-9.630972290E-1,8.247848511E-1,1.345626755E1,1.351587817E1
1.108635750E0,-2.095043335E0,3.607498169E-1,1.320643707E1,1.337644673E1
1.118693750E0,-2.717149658E0,-2.305206299E-1,1.257609787E1,1.286834409E1
1.128750750E0,-2.796035614E0,-6.819818115E-1,1.177167068E1,1.211838046E1
1.138808750E0,-2.298470306E0,-6.873706055E-1,1.140672958E1,1.165628259E1
1.148865750E0,-1.592987366E0,-4.498146057E-1,1.174921738E1,1.186524550E1
1.158922750E0,-1.033001862E0,-3.866459656E-1,1.321466995E1,1.326062178E1
1.168980750E0,8.202941895E-2,-5.373825073E-1,1.447654587E1,1.448674874E1
1.179037750E0,1.566492462E0,-8.785231018E-1,1.571611816E1,1.581840926E1
1.189095750E0,2.467169495E0,-1.375190277E0,1.627296021E1,1.651627402E1
1.199152750E0,2.473456421E0,-1.889969788E0,1.570818466E1,1.601365161E1
1.209210750E0,1.365610199E0,-1.686692505E0,1.379770752E1,1.396733889E1
1.219267750E0,-6.780899048E-2,-1.992207184E0,1.135987701E1,1.153344239E1
1.229325750E0,-7.238946533E-1,-2.475701752E0,9.661059723E0,9.999459866E0
1.239382750E0,-1.231938171E-1,-2.578388214E0,9.195677490E0,9.551112344E0
1.249440750E0,-3.382965088E-2,-2.309996338E0,9.909393311E0,1.017513161E1
1.259497750E0,-8.081694031E-1,-1.722917175E0,1.066472260E1,1.083318464E1
1.269555750E0,-8.375083923E-1,-1.427132263E0,1.105720642E1,1.118033723E1
1.279612750E0,-1.140628052E0,-1.538051605E0,1.140029297E1,1.155998767E1
1.289670750E0,-1.435963898E0,-2.260748749E0,1.107457031E1,1.139381783E1
1.299727750E0,-1.701362000E0,-2.927612000E0,1.011326935E1,1.066507204E1
1.309785750E0,-2.348166962E0,-3.379372559E0,8.952882385E0,9.853331922E0
1.319842750E0,-3.109932861E0,-3.714226227E0,7.424560547E0,8.865171074E0
1.329899750E0,-2.954406281E0,-3.304977264E0,6.303990784E0,7.706600482E0
1.339957750E0,-3.012036438E0,-2.480192413E0,6.013594666E0,7.168475341E0
1.350014750E0,-3.251987457E0,-1.571881256E0,6.817423096E0,7.715146841E0
1.360072750E0,-3.679348755E0,-6.265969849E-1,8.793314209E0,9.552622981E0
1.370129750E0,-3.773502960E0,-7.753875732E-2,1.051248917E1,1.116950157E1
1.380187750E0,-3.657793579E0,-1.410067749E-1,1.151944519E1,1.208705730E1
1.390244750E0,-3.365601196E0,-7.234455872E-1,1.202105209E1,1.250425281E1
1.400302750E0,-2.621199188E0,-1.497036896E0,1.122500748E1,1.162379445E1
1.410359750E0,-2.280058594E0,-1.943109283E0,9.622290344E0,1.007783768E1
1.420417750E0,-2.360441437E0,-2.043849792E0,8.583001556E0,9.133286455E0
1.430474750E0,-2.712958374E0,-1.793570251E0,8.934021606E0,9.507564328E0
1.440532750E0,-2.454895020E0,-1.475332031E0,9.864786072E0,1.027215257E1
1.450589750E0,-1.289867706E0,-2.157463531E0,1.100526443E1,1.128867808E1
1.460646750E0,-7.363188171E-1,-2.858455811E0,1.231189728E1,1.266079577E1
1.470704750E0,-3.373983765E-1,-3.651356964E0,1.365086288E1,1.413479051E1
1.480762208E0,2.068698120E-1,-4.904401245E0,1.422836197E1,1.505131991E1
1.490820208E0,-2.769241333E-1,-5.581892395E0,1.408421173E1,1.515253212E1
1.500877208E0,-1.362317047E0,-3.516337738E0,1.198722244E1,1.256638535E1
1.510935208E0,-3.549418945E0,-1.844614105E0,1.110480743E1,1.180329294E1
1.520992208E0,-3.366948395E0,-1.341360626E0,8.940757599E0,9.647421224E0
1.531050208E0,-2.417622528E0,-1.191671906E0,8.015232239E0,8.456295197E0
1.541107208E0,-1.706451416E0,-3.444337463E-1,8.399632874E0,8.578137528E0
1.551165208E0,-8.376580811E-1,4.959187317E-1,9.753866730E0,9.802322308E0
1.561222208E0,7.125183105E-2,1.035995636E0,1.038330780E1,1.043510636E1
1.571280208E0,5.809419250E-1,1.330732727E0,1.072789124E1,1.082570984E1
1.581337208E0,3.683839417E-1,1.649420013E0,1.053748718E1,1.067215673E1
1.591395208E0,2.740800476E-1,1.700463867E0,9.344019012E0,9.501441393E0
1.601452208E0,7.003935242E-1,1.888622589E0,7.262747040E0,7.536905263E0
1.611509208E0,4.984634399E-2,1.608704681E0,7.189249878E0,7.367206337E0
1.621567208E0,-4.489164734E-1,7.695497131E-1,8.808432770E0,8.853373403E0
1.631624208E0,-8.382568359E-3,3.089575195E-1,1.111798004E1,1.112227518E1
1.641682208E0,5.435197449E-1,-6.342311096E-1,1.256831406E1,1.259603831E1
1.651739208E0,9.131011963E-1,-1.342558136E0,1.224827957E1,1.235542669E1
1.661797208E0,8.913963318E-1,-1.073268127E0,1.104493195E1,1.113270019E1
1.671854208E0,8.372090149E-1,-5.930667114E-1,9.616751862E0,9.671326870E0
1.681912208E0,1.348845062E0,1.288819885E-1,8.141719208E0,8.253701305E0
1.691969208E0,1.757046204E0,6.727011108E-1,6.931485901E0,7.182286192E0
1.702027208E0,1.124012604E0,7.457492065E-1,6.649771729E0,6.785205248E0
1.712084208E0,-5.568420410E-2,9.367520142E-1,7.242688751E0,7.303228424E0
1.722142208E0,-9.322613525E-1,6.122268677E-2,8.086334381E0,8.140126729E0
1.732199208E0,-1.793570251E0,-1.788031769E0,9.834399261E0,1.015526271E1
1.742256208E0,-1.640887756E0,-2.738704834E0,1.093056976E1,1.138728994E1
1.752314208E0,-4.357438660E-1,-2.122586060E0,1.022538620E1,1.045245269E1
1.762371208E0,4.061054993E-1,-1.535656586E0,8.751101990E0,8.894096293E0
1.772429208E0,5.878276062E-1,-1.240919495E0,7.817942505E0,7.937609684E0
1.782486208E0,4.965174866E-1,-8.964857483E-1,7.920030212E0,7.986056278E0
1.792544208E0,5.010081482E-1,-8.170010376E-1,7.968529358E0,8.025955394E0
1.802601208E0,8.249345398E-1,-1.263672180E0,7.870782623E0,8.014150203E0
1.812659208E0,1.324894867E0,-1.598675537E0,8.865763550E0,9.105650619E0
1.822716208E0,1.776056671E0,-1.838925934E0,9.526190186E0,9.863281672E0
1.832774208E0,2.038011932E0,-2.659669189E0,9.106612701E0,9.703490492E0
1.842831208E0,2.046693878E0,-3.487447815E0,9.267378387E0,1.011115969E1
1.852889208E0,2.521656189E0,-3.250041504E0,9.668394470E0,1.050711051E1
1.862946208E0,3.506308594E0,-2.620899811E0,8.989256744E0,9.998502517E0
1.873004208E0,4.369413757E0,-2.085912323E0,7.362140350E0,8.811578595E0
1.883061208E0,5.301076355E0,-1.436562653E0,5.087320862E0,7.486384730E0
1.893118208E0,5.222938843E0,-5.144801331E-1,3.923790436E0,6.552855206E0
1.903176208E0,4.118385773E0,-1.610650635E-1,3.643573151E0,5.501151573E0
1.913233208E0,2.361638947E0,-8.192463684E-1,3.839365997E0,4.581400920E0
