"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469618.675,"2024-10-20 20:13:38.675 UTC-04:00"
"PAUSE",2.856314634E1,1729469647.239,"2024-10-20 20:14:07.239 UTC-04:00"
