"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729552977138788E9,"2024-10-21 19:22:57.139 UTC-04:00"
"PAUSE",2.290876745832793E1,1.729553000047173E9,"2024-10-21 19:23:20.047 UTC-04:00"
