"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469879.422,"2024-10-20 20:17:59.422 UTC-04:00"
"PAUSE",3.025006129E1,1729469909.673,"2024-10-20 20:18:29.673 UTC-04:00"
