"event","experiment time","system time","system time text"
"START",0.000000000E0,1729466779.263,"2024-10-20 19:26:19.263 UTC-04:00"
"PAUSE",1.786035308E2,1729466957.867,"2024-10-20 19:29:17.867 UTC-04:00"
