"event","experiment time","system time","system time text"
"START",0.000000000E0,1729808226.648,"2024-10-24 18:17:06.648 UTC-04:00"
"PAUSE",3.496568494E1,1729808261.614,"2024-10-24 18:17:41.614 UTC-04:00"
