"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729552846354261E9,"2024-10-21 19:20:46.354 UTC-04:00"
"PAUSE",2.517802187499183E1,1.729552871531862E9,"2024-10-21 19:21:11.532 UTC-04:00"
