"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729814890104039E9,"2024-10-24 20:08:10.104 UTC-04:00"
"PAUSE",9.130120966666436E1,1.729814981403480E9,"2024-10-24 20:09:41.403 UTC-04:00"
