"event","experiment time","system time","system time text"
"START",0.000000000E0,1729808156.038,"2024-10-24 18:15:56.038 UTC-04:00"
"PAUSE",2.877520676E1,1729808184.813,"2024-10-24 18:16:24.813 UTC-04:00"
