"event","experiment time","system time","system time text"
"START",0.000000000E0,1729462230.090,"2024-10-20 18:10:30.090 UTC-04:00"
"PAUSE",1.504061175E2,1729462380.496,"2024-10-20 18:13:00.496 UTC-04:00"
