"event","experiment time","system time","system time text"
"START",0.000000000E0,1729467216.543,"2024-10-20 19:33:36.543 UTC-04:00"
"PAUSE",1.786545595E2,1729467395.197,"2024-10-20 19:36:35.197 UTC-04:00"
