"event","experiment time","system time","system time text"
"START",0.000000000E0,1729461194.737,"2024-10-20 17:53:14.737 UTC-04:00"
"PAUSE",1.710293244E2,1729461365.767,"2024-10-20 17:56:05.767 UTC-04:00"
