"event","experiment time","system time","system time text"
"START",0.000000000E0,1729469802.789,"2024-10-20 20:16:42.789 UTC-04:00"
"PAUSE",2.781651707E1,1729469830.606,"2024-10-20 20:17:10.606 UTC-04:00"
